address,baths,beds,cars,link,price,solddate,type
"20 Wyngarde Street, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123362626,"$560,000",03 Nov 2016,house
"12 Evergreen Place, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-123345534,"$925,000",31 Oct 2016,house
"1 Pfeiffer Place, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123427470,"$615,000",31 Oct 2016,house
"8 Marx Street, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123629530,"$620,000",27 Oct 2016,house
"11 Walpole St, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123196690,"$585,000",27 Oct 2016,house
"3 Eastwood Place, McDowall", 3, 4, 4,/sold/property-house-qld-mcdowall-123524530,"$645,000",24 Oct 2016,house
"3 Sarandon Close, McDowall", 3, 4, 2,/sold/property-house-qld-mcdowall-123569922,"$660,000",22 Oct 2016,house
"7 Sharif Street, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123006546,"$675,000",21 Oct 2016,house
"12/195 Old Northern Rd, McDowall", 1, 3, 1,/sold/property-villa-qld-mcdowall-123239586,"$344,000",20 Oct 2016,villa
"2 Wyngarde St, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123468506,"$487,000",17 Oct 2016,house
"2 Ekland Court, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123685574,"$629,000",14 Oct 2016,house
"7 Blake Close, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123644162,"$710,000",13 Oct 2016,house
"4 Paramount Circuit, McDowall", 3, 4, 3,/sold/property-house-qld-mcdowall-123360806,"$722,000",11 Oct 2016,house
"17 Paramount Circuit, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123074610,"$545,000",10 Oct 2016,house
"17/28 Keona Road, McDowall", 2, 3, 2,/sold/property-townhouse-qld-mcdowall-123213286,"$406,000",10 Oct 2016,townhouse
"12 Stallone Cct, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123561854,"$678,500",05 Oct 2016,house
"13/960 Hamilton Road, McDowall", 2, 3, 2,/sold/property-villa-qld-mcdowall-123474854,"$412,000",05 Oct 2016,villa
"21 Gleason Street, McDowall", 2, 5, 2,/sold/property-house-qld-mcdowall-123301550,"$630,000",29 Sep 2016,house
"242 Trouts Road, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123053398,"$715,000",19 Sep 2016,house
"17 Matthau Place, McDowall", 3, 5, 4,/sold/property-house-qld-mcdowall-123274654,"$880,000",16 Sep 2016,house
"7 Sabu Court, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123132162,"$535,000",14 Sep 2016,house
"10 Blake Cl, McDowall", 3, 5, 3,/sold/property-house-qld-mcdowall-123290174,"$687,938",13 Sep 2016,house
"73 De Mille Street, McDowall", 1, 3, 2,/sold/property-house-qld-mcdowall-123306418,"$550,000",07 Sep 2016,house
"71 Landis Street, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201578878,"$415,000",07 Sep 2016,residential land
"21 Van Dyke Crescent, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-123424990,"$660,000",06 Sep 2016,house
"5 Walpole Street, McDowall", 2, 3, 1,/sold/property-house-qld-mcdowall-122809222,"$558,000",29 Aug 2016,house
"3 Nelson Court, McDowall", 2, 4, 2,/sold/property-house-qld-mcdowall-122731822,"$765,000",25 Aug 2016,house
"27 Beckett Road, McDowall", 1, 3, 1,/sold/property-house-qld-mcdowall-123080818,"$450,000",24 Aug 2016,house
"23A Eastwood Place, McDowall", 2, 3, 1,/sold/property-house-qld-mcdowall-122584282,"$500,000",22 Aug 2016,house
"984 Rode Road, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-123081554,"$525,000",12 Aug 2016,house
"19/216 Trouts Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-122834078,"$400,000",12 Aug 2016,townhouse
"1073 Rode Road, McDowall", 2, 3, 2,/sold/property-house-qld-mcdowall-122702022,"$470,000",09 Aug 2016,house
"1/216 Trouts Road, McDowall", 2, 3, 1,/sold/property-townhouse-qld-mcdowall-122831722,"$404,000",08 Aug 2016,townhouse
"73A Landis Street, McDowall",,,,/sold/property-residential+land-qld-mcdowall-201553458,"$365,000",05 Aug 2016,residential land
"3/95 Beckett Road, McDowall", 2, 2, 1,/sold/property-unit-qld-mcdowall-118797059,"$354,500",01 Aug 2016,unit
