address,auctiondate,baths,beds,cars,link,openhouse,price
"4 Acacia Crt, Kununurra, WA 6743",,1,4,,/property-house-wa-kununurra-123974186,,"$259,000"
"5/30 Livistona Street, Kununurra, WA 6743",,2,2,2,/property-apartment-wa-kununurra-123827318,,"$365,000"
"4/7 Greybox Crescent, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-123757910,,"$370,000"
"208 Chamberlain Drive, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201439454,,"$275,000"
"10 Kurrajong Street, Kununurra, WA 6743",,2,3,3,/property-house-wa-kununurra-123646238,,"$299,000"
"12 Quondong Street, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-123641730,,"$675,000"
"7 Eugenia Street, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-123619106,,"$419,000"
Lot 427 Cnr Livistona Street & Templetonia...,,,,,/property-residential+land-wa-kununurra-201598870,,"$135,000"
"Lot 426 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598862,,"$140,000"
"Lot 425 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598846,,"$140,000"
Lot 418 Cnr Livistona Street & Argentea...,,,,,/property-residential+land-wa-kununurra-201598830,,"$147,500"
"Lot 417 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598362,,"$145,000"
"Lot 416 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598346,,"$145,000"
"Lot 415 Livistona Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201598342,,"$145,000"
Lot 413 Cnr Livistona Street & Phoenicea Link...,,,,,/property-residential+land-wa-kununurra-201598314,,"$145,000"
"Lot 350 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597450,,"$186,000"
"Lot 349 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597442,,"$186,000"
"Lot 344 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597434,,"$164,000"
"Lot 332 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597430,,"$188,000"
"Lot 330 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597426,,"$191,000"
"Lot 325 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597422,,"$167,000"
"Lot 297 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597418,,"$180,000"
"Lot 295 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597414,,"$194,000"
"Lot 293 Zamia Link, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597410,,"$174,000"
"Lot 287 Setosa Pass, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597402,,"$217,000"
"Lot 285 Setosa Pass, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597390,,"$204,000"
"Lot 282 Setosa Pass, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597378,,"$180,000"
"Lot 280 Setosa Pass, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597358,,"$185,000"
"Lot 278 Setosa Pass, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597346,,"$189,000"
"Lot 362 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597326,,"$168,000"
"Lot 350 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597286,,"$186,000"
"Lot 349 Argentea Avenue, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597258,,"$186,000"
"Lot 195 Quondong Street, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201597222,,"$184,000"
"12B Beefwood Street, Kununurra, WA 6743",,2,3,1,/property-house-wa-kununurra-123520830,,"$390,000"
"3 Derrinding Way, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-123486362,,"$475,000"
"1833-1834 Casuarina Way, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201588634,,Expressions of Interest
"29 Casuarina Way, Kununurra, WA 6743",,1,3,1,/property-house-wa-kununurra-123442078,,"$320,000"
"B2/19 Victoria Highway, Kununurra, WA 6743",,1,1,1,/property-apartment-wa-kununurra-123283042,,"$340,000"
"199 Chamberlain Drive, Kununurra, WA 6743",,2,4,3,/property-other-wa-kununurra-7837818,,"$725,000"
"7 Grevillea Avenue, Kununurra, WA 6743",,2,3,2,/property-house-wa-kununurra-123180378,,"$399,000"
"410 Packsaddle Road, Kununurra, WA 6743",,5,6,1,/property-acreage+semi+rural-wa-kununurra-123177370,,Expressions of Interest
"A/69 Barringtonia Avenue, Kununurra, WA 6743",,2,3,1,/property-house-wa-kununurra-118210907,,"$369,000 REDUCED"
"1 Barding Loop, Kununurra, WA 6743",,2,4,2,/property-house-wa-kununurra-123142446,,"$465,000"
"6 Boobialla Way, Kununurra, WA 6743",,1,4,2,/property-house-wa-kununurra-117090275,,"$379,000"
"6/28 Coolibah Drive, Kununurra, WA 6743",,1,2,1,/property-house-wa-kununurra-123101914,,"$245,000"
"Lot 38 Bella Lane, Kununurra, WA 6743",,,,,/property-residential+land-wa-kununurra-201535742,,"$217,000"
"Lot 34 Cnr Corkybark Drive & Collina Way,...",,,,,/property-residential+land-wa-kununurra-201535734,,"$223,000"
