address,baths,beds,cars,link,price,solddate,type
"Address available on request, Somerset Dam", 1, 3, 0,/sold/property-house-qld-somerset+dam-103706154,"$257,500",01 Oct 2007,house
"31 Splitters Lane, Mount Byron",,,,/sold/property-lifestyle-qld-mount+byron-7307296,"$150,000",,lifestyle
"Lot 11 First Avenue, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2735333,"$145,000",,residential land
"16 Kassulke Court, Hazeldean", 2, 4, 6,/sold/property-acreage+semi-rural-qld-hazeldean-123048074,<img class=""property-price__image"" src=""https://text-to-image.realestate.com.au/convert/JDM2MCwwMDA=?font-family=MuseoSans-500&amp;font-weight=normal&amp;color=333f48&amp;font-size=32&amp;left=0&amp;top=0"">,30 Sep 2016,acreage/semi-rural
"Wivenhoe - Somerset road, Bryden",,,,/sold/property-livestock-qld-bryden-7768421,Contact agent,13 Jan 2016,livestock
"LOT3 MOUNT BEPPO ROAD, Mount Beppo",,,,/sold/property-lifestyle-qld-mount+beppo-7610791,Contact agent,09 Feb 2014,lifestyle
"Esk - Kilcoy Road, Somerset Dam",,,,/sold/property-lifestyle-qld-somerset+dam-7322941,Contact agent,29 May 2013,lifestyle
"Lot 11, Oakland Park Drive - Lake Somerset Drive Estate, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2834324,Contact agent,10 May 2013,residential land
"Address available on request, Somerset Dam",,,,/sold/property-lifestyle-qld-somerset+dam-7244651,Contact agent,30 Aug 2011,lifestyle
"Lot 17 Chester Road, Bryden",,,,/sold/property-residential+land-qld-bryden-2874272,Contact agent,29 Jul 2011,residential land
"Lot 38 Stirlings Road, Mount Byron", 1, 1, 0,/sold/property-acreage+semi-rural-qld-mount+byron-107079467,Contact agent,01 Jun 2011,acreage/semi-rural
"Address available on request, Somerset Dam", 2, 3, 10,/sold/property-acreage+semi-rural-qld-somerset+dam-105870174,<img class=""property-price__image"" src=""https://text-to-image.realestate.com.au/convert/JDQ1MCwwMDA=?font-family=MuseoSans-500&amp;font-weight=normal&amp;color=333f48&amp;font-size=32&amp;left=0&amp;top=0"">,30 Sep 2009,acreage/semi-rural
"Address available on request, Mount Byron",,,,/sold/property-lifestyle-qld-mount+byron-7256390,Contact agent,11 Sep 2009,lifestyle
"Address available on request, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2613843,Contact agent,04 Aug 2009,residential land
"Address available on request, Somerset Dam", 1, 1, 2,/sold/property-house-qld-somerset+dam-105662319,Contact agent,02 Jul 2009,house
"Address available on request, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2582463,Contact agent,20 Jan 2009,residential land
"Address available on request, Somerset Dam", 2, 3, 2,/sold/property-house-qld-somerset+dam-105066947,Contact agent,06 Nov 2008,house
"Address available on request, Somerset Dam", 1, 2, 2,/sold/property-house-qld-somerset+dam-104905856,Contact agent,10 Sep 2008,house
"Address available on request, Somerset Dam", 1, 2, 1,/sold/property-house-qld-somerset+dam-103872863,Contact agent,15 Aug 2008,house
"Lot 101 Gipps St, Somerset Dam", 1, 4, 1,/sold/property-house-qld-somerset+dam-104452855,Contact agent,10 Apr 2008,house
"Address available on request, Somerset Dam", 1, 2, 1,/sold/property-house-qld-somerset+dam-104029347,Contact agent,27 Mar 2008,house
"Address available on request, Somerset Dam",,,,/sold/property-livestock-qld-somerset+dam-7177329,Contact agent,13 Mar 2008,livestock
"Address available on request, Somerset Dam",,,,/sold/property-livestock-qld-somerset+dam-7177328,Contact agent,18 Feb 2008,livestock
"Address available on request, Somerset Dam", 2, 4, 2,/sold/property-house-qld-somerset+dam-103123047,Contact agent,08 Feb 2008,house
"Address available on request, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2384644,Contact agent,08 Feb 2008,residential land
"Address available on request, Somerset Dam",,,,/sold/property-residential+land-qld-somerset+dam-2367196,Contact agent,08 Feb 2008,residential land
"Address available on request, Somerset Dam", 1, 2, 1,/sold/property-house-qld-somerset+dam-104433722,Contact agent,14 Dec 2007,house
"Address available on request, Somerset Dam", 1, 2, 1,/sold/property-house-qld-somerset+dam-104301384,Contact agent,07 Dec 2007,house
"Address available on request, Somerset Dam",,,,/sold/property-livestock-qld-somerset+dam-7177327,Contact agent,04 Dec 2007,livestock
"Address available on request, Somerset Dam", 1, 3, 2,/sold/property-house-qld-somerset+dam-103731912,Contact agent,04 Dec 2007,house
"Address available on request, Somerset Dam", 1, 3, 2,/sold/property-house-qld-somerset+dam-104249214,Contact agent,30 Oct 2007,house
"Address available on request, Mount Beppo",,,,/sold/property-residential+land-qld-mount+beppo-2345532,Contact agent,30 Oct 2007,residential land
"Address available on request, Somerset Dam", 2, 3, 1,/sold/property-house-qld-somerset+dam-103688730,Contact agent,06 Jul 2007,house
"Address available on request, Somerset Dam", 1, 2, 0,/sold/property-house-qld-somerset+dam-103696719,Contact agent,06 Jul 2007,house
"Address available on request, Hazeldean",,,,/sold/property-residential+land-qld-hazeldean-2793417,Contact agent,,residential land
