address,baths,beds,cars,link,price,solddate,type
"42 David Hockney Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124534674,"$1,200,000",11 Feb 2017,house
"2 Main Street, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-124599270,"$625,000",10 Feb 2017,house
"1 Ryefield Court, Diamond Creek", 2, 3, 0,/sold/property-house-vic-diamond+creek-124324114,"$640,000",31 Jan 2017,house
"Lot 47, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201716170,"$420,000",31 Jan 2017,residential land
"Lot 5 Rusty Gate Court, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201641806,"$395,000",31 Jan 2017,residential land
"Lot 10, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201713546,"$429,000",23 Jan 2017,residential land
"Lot 12, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201713542,"$420,000",23 Jan 2017,residential land
"12 Mitchell Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124273962,"$750,000",21 Jan 2017,house
"13/6 Amaroo Court, Diamond Creek", 2, 3, 2,/sold/property-townhouse-vic-diamond+creek-124818286,"$645,000",20 Jan 2017,townhouse
"Lot 43, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201711470,"$400,000",18 Jan 2017,residential land
"Lot 45, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201714470,"$375,000",18 Jan 2017,residential land
"Lot 6, 61-119 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201704730,"$472,500",17 Jan 2017,residential land
"Lot 38, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201705658,"$420,000",12 Jan 2017,residential land
"22 Cockatiel Place, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124184166,"$1,210,000",07 Jan 2017,house
"Lot 8, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201703950,"$489,000",28 Dec 2016,residential land
"Lot 53, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201704022,"$400,000",22 Dec 2016,residential land
"Lot 7, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201704006,"$496,000",21 Dec 2016,residential land
"Lot 31, 60-122 Collard Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201703954,"$445,000",21 Dec 2016,residential land
"35 Fraser Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123327414,"$640,000",20 Dec 2016,house
"5 Bage Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124241362,"$737,000",19 Dec 2016,house
"48 Challenger Street, Diamond Creek", 1, 3, 6,/sold/property-house-vic-diamond+creek-124301566,"$715,000",18 Dec 2016,house
"10/6 Amaroo Court, Diamond Creek", 2, 3, 2,/sold/property-townhouse-vic-diamond+creek-124817902,"$636,500",15 Dec 2016,townhouse
"11/6 Amaroo Court, Diamond Creek", 2, 3, 2,/sold/property-townhouse-vic-diamond+creek-124817946,"$636,500",15 Dec 2016,townhouse
"15/6 Amaroo Court, Diamond Creek", 2, 3, 2,/sold/property-townhouse-vic-diamond+creek-124818178,"$636,500",15 Dec 2016,townhouse
"14/6 Amaroo Court, Diamond Creek", 2, 3, 2,/sold/property-townhouse-vic-diamond+creek-124818138,"$636,500",15 Dec 2016,townhouse
"19 Kalmaine Court, Diamond Creek", 3, 5, 2,/sold/property-house-vic-diamond+creek-124165962,"$835,000",14 Dec 2016,house
"82 Everleigh Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124051106,"$745,000",14 Dec 2016,house
"lot 13 Magpie Court, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201667786,"$451,000",14 Dec 2016,residential land
"4 David Hockney Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124241870,"$946,500",10 Dec 2016,house
"47 Clyde Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124255462,"$713,000",07 Dec 2016,house
"1/44 Patyah Street, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-124024150,"$580,000",07 Dec 2016,house
"2 Knightsbridge Place, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-124269538,"$770,600",06 Dec 2016,house
"Lot 31 Aspiration Rise, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201597862,"$425,000",06 Dec 2016,residential land
"15 Hotham Court, Diamond Creek", 2, 4, 3,/sold/property-house-vic-diamond+creek-124071786,"$842,000",03 Dec 2016,house
"219 Main Hurstbridge Road, Diamond Creek", 1, 3, 6,/sold/property-house-vic-diamond+creek-121051386,"$710,000",02 Dec 2016,house
"71 Haley Street, Diamond Creek", 2, 3, 1,/sold/property-house-vic-diamond+creek-123954374,"$600,000",30 Nov 2016,house
"Lot 1, 61-119 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201667610,"$490,000",30 Nov 2016,residential land
"14 Luscombe Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124043846,"$885,000",28 Nov 2016,house
"Address available on request, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-123954838,"$530,000",28 Nov 2016,house
"8/21 Collins Street, Diamond Creek", 1, 2, 1,/sold/property-unit-vic-diamond+creek-123943978,"$415,500",28 Nov 2016,unit
"23 Fuller Street, Diamond Creek", 2, 4, 0,/sold/property-house-vic-diamond+creek-124011970,"$686,000",26 Nov 2016,house
"Address available on request, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-124109918,"$678,000",24 Nov 2016,house
"12 Edmonds Street, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-124195814,"$625,000",23 Nov 2016,house
"19 Lanvos Drive, Diamond Creek", 3, 4, 2,/sold/property-house-vic-diamond+creek-124046962,"$699,886",19 Nov 2016,house
"34 Phipps Crescent, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123869682,"$647,500",19 Nov 2016,house
"16 Citriodora Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123856106,"$810,000",18 Nov 2016,house
"14 Amaroo Court, Diamond Creek", 3, 4, 2,/sold/property-house-vic-diamond+creek-124051098,"$670,000",18 Nov 2016,house
"Lot 7, 67 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201586910,"$475,000",18 Nov 2016,residential land
"Lot 10, 61-119 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201662066,"$465,000",16 Nov 2016,residential land
"112 Bishop Avenue, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123394270,"$946,000",15 Nov 2016,house
"3 Ormonde Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123730774,"$750,000",15 Nov 2016,house
"4 Harrap Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123936638,"$810,000",10 Nov 2016,house
"1/47 Haley street, Diamond Creek", 1, 2, 2,/sold/property-house-vic-diamond+creek-123949130,"$460,000",10 Nov 2016,house
"12 WAYLAND COURT, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123860878,"$740,000",09 Nov 2016,house
"4 Discovery Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201642618,"$440,000",09 Nov 2016,residential land
"20 Perversi Avenue, Diamond Creek", 3, 4, 1,/sold/property-house-vic-diamond+creek-123819186,"$702,000",08 Nov 2016,house
"38 Kingfisher Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201592202,"$340,000",07 Nov 2016,residential land
"13 Hillmartin Lane, Diamond Creek", 2, 4, 6,/sold/property-house-vic-diamond+creek-123889778,"$1,200,000",05 Nov 2016,house
"10 Arthur Streeton Place, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123807402,"$1,015,000",05 Nov 2016,house
"37 Chapman Street, Diamond Creek", 1, 3, 2,/sold/property-house-vic-diamond+creek-123935862,"$685,500",30 Oct 2016,house
"16 Kingfisher Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123670810,"$927,500",28 Oct 2016,house
"7 Oronsay Crescent, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123659078,"$659,000",22 Oct 2016,house
"34 Royston Street, Diamond Creek", 3, 4, 3,/sold/property-house-vic-diamond+creek-123735902,"$1,005,000",21 Oct 2016,house
"15a Everard Street, Diamond Creek", 1, 2, 2,/sold/property-house-vic-diamond+creek-123745802,"$557,500",20 Oct 2016,house
"Lot 9, 61-119 Grassy Flat Road, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201627854,"$460,000",14 Oct 2016,residential land
"28, Kingfisher Drive, Diamond Creek",,,,/sold/property-residential+land-vic-diamond+creek-201612570,"$422,000",13 Oct 2016,residential land
"7 Rangeview Road, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123688094,"$673,000",12 Oct 2016,house
"24 Perversi Avenue, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123558046,"$760,000",07 Oct 2016,house
"31 Brownlow Drive, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123674038,"$830,000",06 Oct 2016,house
"85 Lambert Street, Diamond Creek", 2, 4, 2,/sold/property-acreage+semi-rural-vic-diamond+creek-123103562,"$1,125,000",05 Oct 2016,acreage/semi-rural
"28 Diamond Views Drive, Diamond Creek", 2, 4, 3,/sold/property-house-vic-diamond+creek-123479394,"$912,500",03 Oct 2016,house
"2 Wentworth Close, Diamond Creek", 3, 5, 2,/sold/property-house-vic-diamond+creek-123579182,"$789,000",03 Oct 2016,house
"17 Kim Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123626638,"$911,000",29 Sep 2016,house
"15 Victoria Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123504378,"$600,000",28 Sep 2016,house
"11 Lydford Court, Diamond Creek", 2, 4, 1,/sold/property-house-vic-diamond+creek-123412942,"$639,800",27 Sep 2016,house
"43 Everleigh Drive, Diamond Creek", 2, 3, 0,/sold/property-house-vic-diamond+creek-123476482,"$635,000",24 Sep 2016,house
"5 Koonawarra Way, Diamond Creek", 1, 3, 1,/sold/property-house-vic-diamond+creek-123449018,"$605,000",24 Sep 2016,house
"27 Gregg Street, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123583498,"$625,000",21 Sep 2016,house
"33A Chapman Street, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123516290,"$600,000",20 Sep 2016,house
"28 Haley Street, Diamond Creek", 2, 4, 4,/sold/property-house-vic-diamond+creek-123365642,"$817,000",17 Sep 2016,house
"7 Jamieson Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123102834,"$845,000",15 Sep 2016,house
"4 Price Court, Diamond Creek", 2, 3, 2,/sold/property-house-vic-diamond+creek-123494374,"$670,000",15 Sep 2016,house
"26 Fraser Street, Diamond Creek", 1, 3, 0,/sold/property-house-vic-diamond+creek-123437126,"$631,000",15 Sep 2016,house
"1 Lorikeet Court, Diamond Creek", 2, 4, 2,/sold/property-house-vic-diamond+creek-123459226,"$832,000",14 Sep 2016,house
"5 Dario Court, Diamond Creek", 2, 4, 3,/sold/property-house-vic-diamond+creek-123516922,"$1,090,000",12 Sep 2016,house
"3/10 Broadgully Road, Diamond Creek", 1, 2, 1,/sold/property-unit-vic-diamond+creek-123399374,"$506,000",08 Sep 2016,unit
"25 David Hockney Drive, Diamond Creek", 3, 5, 2,/sold/property-house-vic-diamond+creek-123331254,"$902,000",06 Sep 2016,house
"3 Wensley Street, Diamond Creek", 2, 4, 0,/sold/property-house-vic-diamond+creek-123416858,"$610,000",06 Sep 2016,house
